"filename", "language", "JavaScript", "JSON", "TypeScript React", "comment", "blank", "total"
"c:\Users\Edward\Desktop\Radio\RadioBird\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 1, 5
"c:\Users\Edward\Desktop\Radio\RadioBird\.expo-shared\assets.json", "JSON", 0, 4, 0, 0, 1, 5
"c:\Users\Edward\Desktop\Radio\RadioBird\.prettierrc.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\Edward\Desktop\Radio\RadioBird\App.tsx", "TypeScript React", 0, 0, 26, 1, 3, 30
"c:\Users\Edward\Desktop\Radio\RadioBird\Context.tsx", "TypeScript React", 0, 0, 60, 0, 10, 70
"c:\Users\Edward\Desktop\Radio\RadioBird\app.json", "JSON", 0, 17, 0, 16, 0, 33
"c:\Users\Edward\Desktop\Radio\RadioBird\babel.config.js", "JavaScript", 6, 0, 0, 0, 1, 7
"c:\Users\Edward\Desktop\Radio\RadioBird\components\MusicTabBar.tsx", "TypeScript React", 0, 0, 22, 0, 3, 25
"c:\Users\Edward\Desktop\Radio\RadioBird\components\SearchButton.tsx", "TypeScript React", 0, 0, 13, 0, 3, 16
"c:\Users\Edward\Desktop\Radio\RadioBird\navigation\navigation.tsx", "TypeScript React", 0, 0, 83, 0, 9, 92
"c:\Users\Edward\Desktop\Radio\RadioBird\navigation\stacks.tsx", "TypeScript React", 0, 0, 74, 0, 7, 81
"c:\Users\Edward\Desktop\Radio\RadioBird\navigation\toptabs.tsx", "TypeScript React", 0, 0, 36, 0, 9, 45
"c:\Users\Edward\Desktop\Radio\RadioBird\package-lock.json", "JSON", 0, 10410, 0, 0, 1, 10411
"c:\Users\Edward\Desktop\Radio\RadioBird\package.json", "JSON", 0, 44, 0, 0, 1, 45
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\FavouritesScreen.tsx", "TypeScript React", 0, 0, 14, 0, 5, 19
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\HomeScreen.tsx", "TypeScript React", 0, 0, 120, 10, 17, 147
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\HomeTabScreens\ForYou.tsx", "TypeScript React", 0, 0, 88, 8, 12, 108
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\HomeTabScreens\Music.tsx", "TypeScript React", 0, 0, 0, 0, 1, 1
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\HomeTabScreens\News.tsx", "TypeScript React", 0, 0, 0, 0, 1, 1
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\ModalScreen.tsx", "TypeScript React", 0, 0, 6, 0, 3, 9
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\ProfileScreen.tsx", "TypeScript React", 0, 0, 6, 0, 3, 9
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\SearchScreen.tsx", "TypeScript React", 0, 0, 6, 0, 3, 9
"c:\Users\Edward\Desktop\Radio\RadioBird\screens\Sport.tsx", "TypeScript React", 0, 0, 0, 0, 1, 1
"c:\Users\Edward\Desktop\Radio\RadioBird\stationsuk.json", "JSON", 0, 17032, 0, 0, 0, 17032
"c:\Users\Edward\Desktop\Radio\RadioBird\tsconfig.json", "JSON", 0, 12, 0, 0, 1, 13
"Total", "-", 15, 27519, 554, 35, 96, 28219
